Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category
Smile Foundation,4.2,(84 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2C",Private,2002 (22 yrs old),501-1000,,http://www.smilefoundationindia.org,Corporate,Medium
Astra Canyon Group,4.3,(32 reviews),0,"IT Services & Consulting, Internet, Private, Corporate, B2B, Soonicorn",Private,2007 (17 yrs old),Nov-50,,https://www.astra-us.com/,Corporate,Small
Imeg Corporation,4.1,(37 reviews),0,"Design, Private, Corporate, B2B",Private,1955 (69 yrs old),Nov-50,,http://www.imegcorp.com,Corporate,Small
Reality Information Systems,,,0,"Design, Private, Corporate, B2B",Private,1994 (30 yrs old),51-200,,http://www.realityinfo.com,Corporate,Small
Arihant Capital,,,0,"Financial Services, Public, Corporate, B2C, B2B",Public,1992 (32 yrs old),201-500,,http://www.arihantcapital.com,Corporate,Medium
ReWise Analytics & Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2015 (9 yrs old),51-200,,https://www.rewiseglobal.com/,Corporate,Small
Rrootshell Technologiiss,4.0,(27 reviews),0,"Hardware & Networking, Private, Corporate, B2B",Private,2000 (24 yrs old),51-200,,http://www.rrootshell.com,Corporate,Small
Jiva Ayurveda,3.8,(367 reviews),3.6K followers ,"Medical Services / Hospital, Retail, Private, Corporate, B2C",Private,1992 (32 yrs old),1001-5000,"Faridabad, Haryana",https://www.jiva.com/,Corporate,Medium
Bajaj Healthcare,,,0,"Pharmaceutical & Life Sciences, Public, Corporate, B2B, Conglomerate",Public,1993 (31 yrs old),501-1000,,http://www.bajajhealth.com/,Corporate,Medium
Total Environment,3.9,(161 reviews),0,"Real Estate, Architecture / Interior Design, Private, Corporate, B2C, B2B",Private,1996 (28 yrs old),201-500,,http://www.total-environment.com,Corporate,Medium
Quantta Analytics,4.3,(6 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,https://quantta.com/,Corporate,Small
Ormax Media,,,0,"Film / Music / Entertainment, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,https://ormaxmedia.com/,Corporate,Small
FINESSE US,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://www.finesse.us/,Corporate,Small
