Index,Page Number,Company Name,Job Description,Skills Required,Location,Experience,Job Posted,More Info,Applicants,Specialization,Qualification,Employment Type,Company Website,Company Industry,Salary Range,Job Type
5,2,Dell India,Job Title: Sr Advisor ML EngineerData Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-i...,"machinelearning, datascience, softwareengineering, mlops, generativeai, orchestration, informationtechnology, docker, git, linux, bigdata, productionenvironment",Bengaluru / Bangalore,7 - 10 yrs,Posted 5 days ago,https://www.timesjobs.com/job-detail/senior-advisor-machine-learning-engineer-dell-india-bengaluru-bangalore-7-to-10-yrs-jobid-pfxRL7pYMHZzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,http://www.dell.com/,IT-Hardware/Networking,2-4 Lakhs,regular
6,2,Cotocus,# We are looking for an engineer who is an expert in Artificial Intelligence  /  Machine Learning with 2-8 years of experience with the following skills:Desired Skills and Exp...,"css, informationtechnology, html5, artificialintelligence, docker, java, googleapi, devops, api, bigdata, rest, github, python, machinelearning, javascript, writtencommunication, entrylevel, .net, soap",Bengaluru / Bangalore,2 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/artificial-intelligence-machine-learning-engineer-cotocus-bengaluru-bangalore-2-to-8-yrs-jobid-O__PLUS__p58tiLJs1zpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.cotocus.com,IT-Software,2-4 Lakhs,regular
7,2,Scandid,Key Skills - 5  years of experience in building production-grade Neural Network models using CV or NLP techniques. - Excellent understanding of machine learning techniques and...,"hive, algorithms, sql, pig, machinelearning, nosql, productionenvironment",Pune,5 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-computer-vision-nlp-scandid-pune-5-to-8-yrs-jobid-pySixwg7o7JzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.scandid.in,IT-Software,2-4 Lakhs,regular
8,2,zf india pvt ltd,"Machine Learning EngineerCountry / Region: INLocation: Pune ,  MH ,  IN ,  410501Req ID: 66501 Pune ,  IndiaMain Accountabilities ,  Responsibilities ,  and DeliverablesWhile ...","python, r, spark, devops, bigdata, cloudera, algorithms, docker, oracle, machinelearning",Pune,3 - 7 yrs,Posted 6 days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-job-details-zf-group-zf-india-pvt-ltd-pune-3-to-7-yrs-jobid-n1DOwCWZGXpzpSvf__PLUS__uAgZw==&source=srp,28,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,https://jobs.zf.com/search/?createNewAlert=false&q=&optionsFacetsDD_facility=&optionsFacetsDD_shifttype=&optionsFacetsDD_country=IN&locationsearch=Hyderabad,IT-Software,2-4 Lakhs,regular
9,2,Exxonmobil Company India Pvt Ltd,"Machine Learning EngineerLocation: Bengaluru ,  KA ,  INCompany: ExxonMobilAbout usAt ExxonMobil ,  our vision is to lead in energy innovations that advance modern living and ...","datascience, machinelearning, c/c, applicationdesign, devops, sql, security, git, python, naturallanguageprocessing",Bengaluru / Bangalore,3 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-job-details-exxonmobil-exxonmobil-company-india-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-d2__SLASH__SOkmVvotzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,http://www.mobil.co.in ,"Petroleum/Oil and Gas/Power,  Manufacturing/Industrial",2-4 Lakhs,regular
10,2,Google India Pvt Ltd,"Physical Design and Machine Learning Engineer ,  SiliconshareLocation: Bengaluru ,  Karnataka ,  IndiaExperience Level: MidJob Type: Full-timeMinimum Qualifications:Bachelor's...","physicaldesign, machinelearning, algorithmsknowledge, datastructures, computerarchitecture, manufacturing, action, alias, mechanicalengineering, equipmentinstallation, industrialengineering, cutting, machinery",,3 - 6 yrs,Posted 2 days ago,https://www.timesjobs.com/job-detail/physical-design-and-machine-learning-engineer-silicon-google-india-pvt-ltd-3-to-6-yrs-jobid-pt0q1HlNMBNzpSvf__PLUS__uAgZw==&source=srp,N/A,Production/Manufacturing/Maintenance,BE/ B.Tech (Engineering),Full Time,https://www.google.com/,Internet/Dot com/ISP,2-4 Lakhs,regular
11,2,Intel Technology India Pvt Ltd,"# **Artificial Intelligence Group ,  Intel**  *Transforming Intel with AI*The Artificial Intelligence Group at Intel is the leading group at Intel that creates state-of-the-ar...","datascience, machinelearning, productmanagement, businessanalysis, pythonprogramming, algorithms, informationtechnology, hosting, artificialintelligence, docker, sql, git, softwareengineering, hadoop, bigdata",Israel,0 - 3 yrs,Posted 1 day ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-student-for-artificial-intelligence-group-intel-technology-india-pvt-ltd-israel-0-to-3-yrs-jobid-Fas__PLUS__hNIEU2FzpSvf__PLUS__uAgZw==&source=srp,13,Software Engineer,BE/ B.Tech (Engineering),Full Time,http://www.intel.in/,IT-Hardware/Networking,2-4 Lakhs,regular
12,2,Google India Pvt Ltd,"Job Title: Physical Design and Machine Learning EngineerLocation: Bengaluru ,  Karnataka ,  IndiaExperience Required:Experience driving progress ,  solving problems ,  and men...","physicaldesign, machinelearning, circuitdesign, datastructures, problemsolving, manufacturing, action, alias, mechanicalengineering, equipmentinstallation, industrialengineering, cutting, machinery",,3 - 10 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/physical-design-and-machine-learning-engineer-silicon-google-india-pvt-ltd-3-to-10-yrs-jobid-npcZVTX8DNZzpSvf__PLUS__uAgZw==&source=srp,N/A,Production/Manufacturing/Maintenance,BE/ B.Tech (Engineering),Full Time,https://www.google.com/,Internet/Dot com/ISP,2-4 Lakhs,regular
13,2,hitachi ltd,"Description:Zenseact's purpose is to make safe and intelligent mobility real ,  for everyone ,  everywhere. We develop the complete software stack for ADAS and AD ,  from sens...","pythondataanalysis, machinelearningalgorithms, datamanipulation, datavisualization, statisticalskills, artificialintelligence, api, technicalskills, hitachi, consultant",Sweden,2 - 5 yrs,Posted a month ago,https://www.timesjobs.com/job-detail/lead-machine-learning-engineer-data-scientist-irc213116-in-hitachi-hitachi-ltd-sweden-2-to-5-yrs-jobid-99pcisE6hdhzpSvf__PLUS__uAgZw==&source=srp,13,Software Engineer,BE/ B.Tech (Engineering),Full Time,https://careers.hitachi.com/search/jobs?q=&location=,"Automobiles/Auto Component/Auto Ancillary,  Marine/Aviation/Military/Mining/Shipping",2-4 Lakhs,regular
14,2,SolutionInn,"Job ResponsibilitiesStudy and transform data science prototypesLead all the processes from data cleaning ,  and preprocessing ,  to training models and deploying them to produ...","algorithms, artificialintelligence, softwareengineering, datastructures, python, mobile, machinelearning",Pakistan,3 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineers-solutioninn-pakistan-3-to-6-yrs-jobid-pMTVl9miJvVzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.solutioninn.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
